   97  NGC6496     na           269.765  -44.266   11.3  -134.72  0.26   -3.037   -9.239  0.061  0.061   0.004    2.8    350  NGC6496   V18               
   98  TERZAN9     na           270.412  -26.840    7.1    29.31  2.96   -2.197   -7.451  0.073  0.070   0.041    0.9     50  TERZAN9   V18               
   99  DJORG2      ESO456-38    270.455  -27.826    6.3  -148.05  1.38    0.515   -3.052  0.079  0.074  -0.036    0.9      9  DJORG2    V18               
  100  NGC6517     na           270.461  -08.959   10.6   -37.07  1.68   -1.498   -4.221  0.066  0.066   0.016    2.5    237  NGC6517   V18               
  101  TERZAN10    na           270.742  -26.067    5.8   -64.11  3.09   -6.912   -2.409  0.085  0.080   0.074    1.6     27  TERZAN10  V18               
  102  NGC6522     na           270.892  -30.034    7.7   -13.90  0.71    2.618   -6.431  0.072  0.071   0.003    1.9     38  NGC6522   V18               
  103  NGC6535     na           270.960  -00.298    6.8  -214.85  0.46   -4.249   -2.900  0.064  0.064   0.007    2.2    318  NGC6535   V18               
  104  NGC6528     na           271.207  -30.056    7.9   210.31  0.75   -2.347   -5.531  0.081  0.078   0.017    0.9     18  NGC6528   V18               
  105  NGC6539     na           271.207  -07.586    7.8    35.69  0.55   -6.865   -3.477  0.061  0.061   0.009    3.2    563  NGC6539   V18               
  106  NGC6540     DJORG3       271.536  -27.765    5.3   -17.98  0.84   -3.760   -2.799  0.077  0.076   0.029    0.8     15  NGC6540   V18               
  107  NGC6544     na           271.836  -24.997    3.0   -38.12  0.76   -2.349  -18.557  0.060  0.060   0.001    5.2    551  NGC6544   V18               
  108  NGC6541     na           272.010  -43.715    7.5  -163.97  0.46    0.349   -8.843  0.056  0.055  -0.007    6.3   1375  NGC6541   V18               
  109  ESO280-06   na           272.275  -46.423   21.4    93.20  0.34   -0.552   -2.724  0.082  0.075   0.085    1.1     33  ESO280-06 V18               
  110  NGC6553     na           272.323  -25.909    6.0     0.72  0.40    0.246   -0.409  0.063  0.063   0.003    3.5    325  NGC6553   V18               
  111  NGC6558     na           272.573  -31.764    7.4  -195.70  0.70   -1.810   -4.133  0.067  0.066   0.003    1.1     42  NGC6558   V18               
  112  PAL7        IC1276       272.684  -07.208    5.4   155.06  0.69   -2.577   -4.374  0.059  0.059   0.009    4.2    938  PAL7      V18               
  113  TERZAN12    na           273.066  -22.742    4.8    94.77  0.97   -6.151   -2.679  0.069  0.068   0.049    1.5    104  TERZAN12  V18               
  114  NGC6569     na           273.412  -31.827   10.9   -49.83  0.50   -4.109   -7.267  0.062  0.062   0.005    2.7    169  NGC6569   V18               
  115  BH261       ESO456-78    273.527  -28.635    6.5   -29.38  0.60    3.590   -3.573  0.077  0.076   0.037    0.5     13  ClVDBH261 V18              
  116  NGC6584     na           274.657  -52.216   13.5   260.64  1.58   -0.053   -7.185  0.061  0.061   0.000    3.6    392  NGC6584   V18               
