#  id W_lime e_W_lime g_lime e_g_lime rt_lime e_rt_lime M_lime e_M_lime W_pe e_W_pe eta_pe e_eta_pe log1minB_pe e_log1minB_pe rt_pe e_rt_pe M_pe e_M_pe log_fpe e_log_fpe chi2_king chi2red_king chi2_wil chi2red_wil chi2_lime chi2red_lime chi2_pe chi2red_pe kingtrunc kinghalf wiltrunc wilhalf limehalf e_limehalf pehalf e_pehalf pecore e_pecore  r_tie BGlev min_mass max_mass
    NGC6093    7.070    0.055    1.178    0.089   21.256    1.640     7234.396       72.854    7.361    0.109    0.299    0.010   -0.871    0.070   13.834    0.444     7280.614       57.020   -1.727    0.040 1173.997    4.163 1454.550    5.158  415.889    1.480  371.441    1.327   22.387    2.405   83.176    2.092    2.054    0.027    2.127    0.023    0.464    0.011     2.592    0.813    0.700    0.777
    NGC6121    7.636    0.135    0.183    0.073   22.779    0.827     2540.087       59.282    9.081    0.228    0.354    0.012   -0.215    0.086   22.487    0.657     2525.759       47.807   -1.556    0.039  194.556    3.298  733.178   12.427   92.585    1.596   57.921    1.016   34.674    3.770  251.189    4.282    4.474    0.097    4.772    0.109    0.588    0.047     2.839    0.000    0.500    0.832
    NGC6101    6.034    0.211    1.370    0.221  113.682   17.119     1936.332       51.092    5.848    0.240    0.156    0.050   -1.868    0.320   97.234    8.696     1935.884       47.591   -2.878    0.528 1036.464   15.021 1023.818   14.838  338.405    4.977  313.449    4.678   17.378    6.130   30.903    6.394   12.165    0.283   12.163    0.265    4.599    0.233     3.295    0.027    0.760    0.795
    NGC6144    5.774    0.201    0.226    0.144   25.037    2.211      600.112       23.127    9.424    0.623    0.124    0.035   -0.229    0.212   23.813    1.280      620.385       21.637   -3.716    0.532  149.960    0.987  177.720    1.169  139.087    0.921  130.635    0.871   35.721    5.779   66.118    5.681    5.879    0.190    6.259    0.176    1.587    0.110     2.005    1.009    0.707    0.789
    NGC6139    7.929    0.097    1.293    0.143   44.476    9.761      230.521        7.620    7.897    0.188    0.229    0.066   -1.249    0.382   24.679    7.196      218.290       10.945   -1.914    0.522  291.469    4.940  337.562    5.721  111.356    1.920   96.553    1.694   32.359    3.395  676.083    6.345    3.282    0.189    3.035    0.294    0.451    0.023     2.000    0.027    0.761    0.779
    NGC6171    6.770    0.050    0.409    0.141   21.176    1.541     4038.530       45.349    7.403    0.150    0.276    0.040   -0.724    0.138   21.838    0.939     4025.602       42.155   -1.968    0.213  335.771    2.623  755.701    5.904  139.327    1.097  214.324    1.701   37.154    4.322  208.930    4.786    3.898    0.064    3.953    0.063    0.986    0.021     3.924    0.640    0.658    0.832
    NGC6205    4.123    0.178    2.629    0.066  138.247   14.481    36867.395      475.099    5.326    0.068    0.220    0.006   -2.651    0.161   56.109    3.607    35336.601      649.749   -2.621    0.127 2925.214   36.565  438.593    5.482  187.887    2.378  356.345    4.569   43.652    5.077   74.131    4.622    4.184    0.030    4.270    0.038    1.897    0.044     6.127    0.026    0.671    0.808
    NGC6229    5.158    0.432    2.471    0.165  225.328   98.781      660.573       30.328    5.799    0.200    0.207    0.124   -2.727    1.742   74.192   11.683      658.492       28.393   -2.586    1.535   39.476    1.794   38.265    1.739   22.677    1.080   22.835    1.142   35.481    4.212   95.499    3.903    4.367    0.183    4.427    0.176    1.703    0.135     2.000    0.013    0.778    0.782
    NGC6218    5.734    0.130    1.377    0.124   36.258    2.677    11248.681      144.064    6.240    0.221    0.333    0.015   -0.753    0.128   22.694    0.907    11151.269      118.511   -1.703    0.064 2699.424   22.684 3087.780   25.948  332.338    2.816  211.569    1.808   23.442    3.364   40.738    3.200    4.250    0.041    4.350    0.054    1.542    0.068     4.839    0.087    0.640    0.795
    NGC6235    6.224    0.165    1.267    0.242   32.575    6.309      827.516       21.567    6.080    0.217    0.198    0.055   -1.524    0.336   26.680    3.975      821.800       21.427   -2.469    0.496  284.654    1.684  410.282    2.428  204.097    1.215  204.329    1.224   38.019    4.422  407.380    6.281    3.646    0.111    3.613    0.113    1.274    0.055     1.994    1.960    0.735    0.790
    NGC6254    7.267    0.141    0.821    0.095   34.800    1.870    11230.138      307.930    7.514    0.232    0.299    0.039   -0.816    0.182   29.501    2.089    11141.588      293.614   -1.742    0.238  819.803   10.647  725.074    9.417  112.103    1.475  106.755    1.423   25.704    3.342   58.884    3.114    4.527    0.115    4.608    0.122    0.960    0.080     5.784    0.225    0.600    0.812 
    NGC6266    7.381    0.131    1.250    0.173   29.036    5.438     7424.051      170.473    7.584    0.278    0.222    0.048   -1.226    0.282   19.330    2.309     7339.500      160.936   -2.089    0.324 1855.450    4.948 2942.712    7.847 1789.653    4.785 1632.576    4.377   23.442    2.493  154.882    2.640    2.434    0.065    2.479    0.078    0.467    0.038     4.000    3.403    0.707    0.793
    NGC6273    6.755    0.055    1.103    0.073   37.764    2.080    10402.771       98.803    6.668    0.094    0.261    0.035   -1.203    0.150   30.620    1.814    10356.384       96.388   -1.972    0.232  242.208    1.309  465.542    2.516  161.849    0.880  189.949    1.038   38.019    4.422  128.825    4.197    4.223    0.037    4.230    0.044    1.199    0.029     4.701    1.954    0.686    0.777
    NGC6284    8.423    0.197    1.518    0.219  144.006   85.603      113.485       12.088    8.080    0.178    0.458    0.034   -2.501    0.200  313.485   58.461      225.776       28.236   -0.396    0.050  282.434    1.846  301.266    1.969  286.561    1.885  278.287    1.843   54.112    5.751 1400.884   15.850    7.687    1.550   60.584   23.783    0.745    0.045     1.500    0.093    0.765    0.790
